Ticker,Sector,Score,Ret_12m,Ret_6m,RS_SPY,Vol_Ratio,Drawdown,Price,Rank
WDC,Information Technology,1.5611666019582011,2.0866766817656366,2.0107861425523312,1.8554325658853463,0.7437512776283345,-0.04285406620619747,166.6199951171875,1.0
WBD,Communication Services,1.220868013183928,1.4099524907486813,1.5891038724228457,1.4337502957558608,1.1052650827350536,0.0,25.424999237060547,2.0
STX,Information Technology,1.1484320844887712,1.8672368616816089,1.1966605965996595,1.0413070199326746,0.7273141121360954,-0.059270683940896074,276.56500244140625,3.0
MU,Information Technology,0.9738281611180596,1.3623360637528807,1.1669428470592242,1.0115892703922393,0.6643319699864019,-0.07273984536033729,234.875,4.0
TER,Information Technology,0.9447711997478376,0.7563817512701523,1.3734118439558336,1.2180582672888487,0.8858230903437835,0.0,201.92999267578125,5.0
INTC,Information Technology,0.8722231774732884,0.8786871906553326,1.1043918747706738,0.9490382981036889,1.162646752627924,-0.03532674809860081,42.2140998840332,6.0
NEM,Materials,0.8226017852243299,1.256161269948397,0.7723575841095756,0.6170040074425907,0.7783836547720211,-0.058786654550191386,92.2249984741211,7.0
GOOG,Communication Services,0.7984877322024584,0.8715819397753353,0.8470503699002672,0.6916967932332823,0.7900460959150414,-0.0038005528694103896,322.4100036621094,8.0
GOOGL,Communication Services,0.7962654634082958,0.8850422218614471,0.8553792489591376,0.7000256722921527,0.7168939574919277,-0.005797056597350414,321.56500244140625,9.0
LRCX,Information Technology,0.7839541760852944,1.0588845574184473,0.8565767091985612,0.7012231325315763,0.7109386359420203,-0.04067842668228894,159.33999633789062,10.0
IVZ,Financials,0.7533012141100325,0.5174865492566272,0.8456911105295581,0.6903375338625732,1.5033899656119103,0.0,26.06999969482422,11.0
AVGO,Information Technology,0.7276034270200007,1.3415651296128317,0.5854588796185936,0.43010530295160865,0.8094102877761814,-0.03238531881501583,389.9100036621094,12.0
GLW,Information Technology,0.7014532711163104,0.7812385096660908,0.7076505612683281,0.5522969846013432,0.7367314814756996,-0.04482003402164292,85.94999694824219,13.0
CAT,Industrials,0.6697392900196655,0.5386563838711689,0.7239198759447538,0.5685662992777689,0.8376070357821214,0.0,605.1849975585938,14.0
APH,Information Technology,0.6530729248168294,0.9146906902106933,0.49264905101564094,0.33729547434865603,0.9005551440217062,-0.034306656989861684,138.9149932861328,15.0
AMD,Information Technology,0.6464121467805681,0.5558177977153944,0.9011532802390347,0.7457997035720498,0.5744311319026466,-0.1643210551441916,220.89500427246094,16.0
CHRW,Industrials,0.5936262982001531,0.48134708702887496,0.6329715878157791,0.4776180111487942,0.8938164920048322,-0.028942205816232858,155.67999267578125,17.0
KLAC,Information Technology,0.5854481017266746,0.8591665543197706,0.5246648353223282,0.3693112586553433,0.6515849636914041,-0.004878314834875885,1227.1949462890625,18.0
GM,Consumer Discretionary,0.5845269249796569,0.4434116926836722,0.6186686348889858,0.4633150582220009,0.9649450555844147,0.0,76.63999938964844,19.0
TEL,Information Technology,0.5733766042634335,0.5697898110921049,0.43533387839739257,0.27998030173040767,0.8884263469526671,-0.05425700605154993,235.49000549316406,20.0
TPR,Consumer Discretionary,0.566516817407131,0.8169414289652475,0.4592843857678781,0.3039308091008932,0.7512932121208955,-0.020189498686121077,114.7750015258789,21.0
CMI,Industrials,0.5633677480526913,0.39056323631774315,0.5833517278591225,0.4279981511921376,0.6991966049437612,0.0,512.239990234375,22.0
WELL,Real Estate,0.5590891146462862,0.5610496668381961,0.3305983307864111,0.1752447541194262,0.6660947939264106,-0.021179539123309166,203.80999755859375,23.0
CAH,Health Care,0.5524507550430393,0.6319146171111076,0.2899603159282076,0.13460673926122269,1.0918929359886471,-0.07212367751030935,198.31500244140625,24.0
JNJ,Health Care,0.5523367459224553,0.36118255324305304,0.3158360589001814,0.1604824822331965,0.776628494950425,-0.030497214807818307,201.22999572753906,25.0
LVS,Consumer Discretionary,0.5522681975164652,0.25928037374732305,0.6668337697821749,0.51148019311519,0.9256577558883111,-0.04374731628985029,66.44999694824219,26.0
AMAT,Information Technology,0.5515279537506337,0.49281978841876817,0.6314204224083526,0.4760668457413677,0.7725465129766698,0.0,270.7149963378906,27.0
C,Financials,0.5345139696343747,0.5652149616477513,0.4073364466423015,0.2519828699753166,0.8402606921762749,0.0,108.7699966430664,28.0
ULTA,Consumer Discretionary,0.5189043250418821,0.5353529130662023,0.3034210306242746,0.1480674539572897,1.5760456381406145,0.0,606.9249877929688,29.0
EL,Consumer Staples,0.5123166359501962,0.38329255120496075,0.5500992020603754,0.39474562539339053,1.0754592581363076,0.0,105.31999969482422,30.0
IDXX,Health Care,0.510066580437246,0.6592881891721247,0.36593898344500797,0.21058540677802307,0.9140509161823334,-0.0648053921234969,716.9949951171875,31.0
INCY,Health Care,0.5079446080732916,0.39483552580012793,0.4609569016291759,0.305603324962191,0.9440555061323128,-0.07195640829310801,100.47000122070312,32.0
WYNN,Consumer Discretionary,0.507317989290653,0.3569265808557105,0.5192137617813295,0.3638601851143446,0.944763323908166,-0.05327219575459641,126.0,33.0
GS,Financials,0.5064782855557118,0.44021142030015126,0.3983133219843624,0.24295974531737752,0.896901155871047,0.0,849.780029296875,34.0
BK,Financials,0.5045080134320646,0.44529125209246345,0.2787439045007083,0.12339032783372339,0.7492972617827085,0.0,114.31999969482422,35.0
GEV,Industrials,0.5030331669069006,0.9229121333390227,0.3139952739936265,0.15864169732664157,0.8309891574383358,-0.01733829089845229,636.7449951171875,36.0
